network,snapshot_index,day,event_slot,method,peak_dc_penetration,outage,solver_success,maximum_apparent_line_loading,maximum_voltage_violation_pu,minimum_voltage_pu,maximum_nonreference_active_plan_deviation_mw,reference_generator_loss_recourse_mw,load_multiplier,data_center_power_factor,profile_scale_reference,payment_reference_penetration,payment_network_scale,dc_power_scale,validation_trace_peak_mw,schema_version
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,15,1,0.8811420056636676,0.0,1.001186161608866,3.121272129646968e-10,5.739345325241587,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,16,1,0.8882157914663892,0.0,0.9918167891826424,4.365045313972442e-09,6.2048512730599725,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,17,1,0.9126944058524136,0.0,0.9907172814540763,2.132651388819795e-09,1.45973306234265,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,18,1,0.8973987726221778,0.0,0.9882426516771432,9.974405683713327e-09,10.647186611591565,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,19,1,0.904947683767264,0.0,1.0018089510035941,1.6155254911609518e-10,1.4491306901225016,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,20,1,0.9514795888741615,0.0,0.9866832252347512,6.2386220633925404e-09,12.692381018594673,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,21,1,0.9783541981073972,0.0,0.9903953861854186,8.614426922111184e-09,10.919579570743792,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,22,1,0.892123708100365,0.0,0.9680786807581384,4.973287559550954e-09,34.150374573948284,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,23,1,0.9199800157599285,0.0,0.9869305131955564,6.050811407476431e-09,1.1102246016504438,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,24,1,0.9244558921363663,0.0,0.9877414218668906,3.6242616145908023e-09,4.53782673929291,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,25,1,0.9244558921363663,0.0,0.9877414218668906,3.6242616145908023e-09,4.53782673929291,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,27,1,0.9208617421113916,0.0,0.9867680107376088,1.2091732060071081e-08,12.120334713840023,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,28,1,0.9526871141277669,0.0,0.9870170909603097,8.127031091377475e-09,2.461360269919382,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,29,1,0.9222403295814451,0.0,0.9873006747030061,2.791182396322256e-09,3.590946462017257,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,30,1,0.9228581796159633,0.0,0.9877024897004772,8.63754413352145e-09,4.151741386607924,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,31,1,0.9230793017291041,0.0,0.9877236187991838,8.653675250908169e-09,0.13244820783098987,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,32,1,0.9230793017291041,0.0,0.9877236187991838,8.653675250908169e-09,0.13244820783098987,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,33,1,0.9233602458921699,0.0,0.9878070549976946,1.4967270089982776e-08,0.09222027923564724,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,34,1,0.9233602458921699,0.0,0.9878070549976946,1.4967270089982776e-08,0.09222027923564724,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,35,1,0.9234539227960862,0.0,0.9878726264060084,1.765840806911001e-09,0.3643320349609951,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,36,1,0.9234539227960862,0.0,0.9878726264060084,1.765840806911001e-09,0.3643320349609951,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,37,1,0.9239669172427564,0.0,0.9877716019199515,7.645884645685879e-09,5.277172694984074,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,0,1,0.9392998503525897,0.0,0.9879873880545565,1.304446132706897e-09,0.08922556243317104,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,1,1,0.9372856672445401,0.0,0.9880505336831259,1.1455344606931967e-08,0.6447650060154615,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,2,1,0.8851906057897614,0.0,0.9905808518672431,2.2816948330728337e-10,0.9744635092887393,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,3,1,0.9054741533900845,0.0,0.9814518340702166,4.968853772879811e-09,0.9407072590632595,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,4,1,0.9999999955927349,0.0,0.9538250252959012,7.466584461761809e-10,2.254949116103859,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,5,1,0.9213142496662403,0.0,0.9893158609773244,9.557481916999677e-09,0.8427951445649171,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,7,1,0.9510668069111805,0.0,0.988516137627558,7.569386921238836e-09,1.2115335954244415,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,8,1,0.952648971336699,0.0,0.9827993721582827,1.965202045539627e-08,0.5733941635107556,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,13,1,0.9391288211635868,0.0,0.9810740297355981,6.90903334543691e-09,2.1801574638466974,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,14,1,0.9445554121815484,0.0,0.9811642291373324,9.29179577724426e-09,2.2172616120533775,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,15,1,0.8816810810857564,0.0,1.0011452649589772,6.087930159992538e-10,5.752919963478064,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,16,1,0.8888788515394342,0.0,0.9920236298585654,2.418119038338773e-10,6.22247225760816,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,17,1,0.9137055446894702,0.0,0.9909223443202221,1.469459220970748e-09,1.4700318541865585,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,18,1,0.8979813836541437,0.0,0.988194974751361,1.211148797661655e-09,10.642659561243747,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,19,1,0.9056957628650609,0.0,1.0018050704706267,1.624940182409773e-10,1.4565071366244808,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,20,1,0.951429805046726,0.0,0.9868647749882157,3.9505039239884354e-09,12.694414604540754,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,21,1,0.9781799898588541,0.0,0.9905720798719443,8.482214206953192e-09,10.905938122457854,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,22,1,0.892613089687457,0.0,0.9680210104515827,9.832547220867127e-09,34.14023296870364,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,23,1,0.9210446114487189,0.0,0.9871095035669756,7.57802354200976e-09,1.1073152115538392,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,24,1,0.9255371640679766,0.0,0.987923491651205,3.056588826712266e-09,4.539163198988078,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,25,1,0.9255371640679766,0.0,0.987923491651205,3.056588826712266e-09,4.539163198988078,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,27,1,0.9219187001304677,0.0,0.986948854483986,1.2703310403594514e-08,12.118766597319762,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,28,1,0.9524451135746572,0.0,0.9871975600984773,8.340210107856927e-09,2.455030592906283,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,29,1,0.9233054610540351,0.0,0.9874818776128975,2.640433649503393e-09,3.590133348813822,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,30,1,0.9239456784051853,0.0,0.9878794307954427,8.134367145034566e-09,4.151690570277111,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,31,1,0.9241633990511912,0.0,0.9879017750451703,7.1851786742627155e-09,0.13237667958334498,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,32,1,0.9241633990511912,0.0,0.9879017750451703,7.1851786742627155e-09,0.13237667958334498,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,33,1,0.9245049397478705,0.0,0.9879692674669864,5.488175247592153e-09,0.09257978106593612,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,34,1,0.9245049397478705,0.0,0.9879692674669864,5.488175247592153e-09,0.09257978106593612,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,35,1,0.9245427112112155,0.0,0.9880510001561456,1.61452362590353e-09,0.3649531287552463,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,36,1,0.9245427112112155,0.0,0.9880510001561456,1.61452362590353e-09,0.3649531287552463,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.06,37,1,0.9250474586913836,0.0,0.9879520363744433,7.571856031063362e-09,5.277799884554582,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.2360908546426326,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,0,1,0.9432629845850427,0.0,0.9881680247920875,1.8990675698660198e-10,0.1190972853423915,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,1,1,0.9386270514835532,0.0,0.9882523755078851,8.414166869395635e-09,0.6574469225064519,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,2,1,0.8858507622517399,0.0,0.9906834542370841,2.367528395552654e-10,0.9487057089755524,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,3,1,0.9067650721790208,0.0,0.9815022162524678,6.038590072421357e-09,0.9171833457042737,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,4,1,0.9999999955905893,0.0,0.9539867500309835,6.2308797850085e-10,2.22735070030123,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,5,1,0.9223885068782394,0.0,0.9894949279733029,1.000864813249791e-08,0.8382751081085189,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,7,1,0.9526531733811133,0.0,0.9887116657273117,6.8913843209783694e-09,1.2415778793576493,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,8,1,0.9544254934918482,0.0,0.9829627011119337,1.770212065821397e-08,0.590960201089942,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,13,1,0.9403535088756164,0.0,0.9812717927579651,8.599954526289366e-09,2.17779398533078,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,14,1,0.9458259914113403,0.0,0.9813471368935307,9.140592283074511e-09,2.2157848893011476,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,15,1,0.882225928086622,0.0,1.0011042314528382,8.935217010730412e-10,5.766607011529246,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,16,1,0.889546108278478,0.0,0.9922306753404542,1.7798811313696206e-09,6.24012734302444,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,17,1,0.9147199132261471,0.0,0.9911281200156871,9.852669791143853e-10,1.4803734838640992,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,18,1,0.8985877154468555,0.0,0.9881470021873557,6.633058546867687e-10,10.638284135860076,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,19,1,0.9063228490599707,0.0,1.001770096729024,1.4033103176543494e-09,1.464082974689049,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,20,1,0.9513810445372876,0.0,0.9870493856450759,2.9384636945906095e-09,12.696438107030929,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,21,1,0.9780058391993892,0.0,0.9907492056730889,8.195657899923983e-09,10.89230932919834,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,22,1,0.8931124391459451,0.0,0.9679631204107276,1.2045518360537244e-08,34.13038575964106,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,23,1,0.9221119351271677,0.0,0.9872892858805222,9.536449852021178e-09,1.1044159870973402,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,24,1,0.9266223507178662,0.0,0.9881059812628912,2.5656129061323422e-09,4.540499911994132,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,25,1,0.9266223507178662,0.0,0.9881059812628912,2.5656129061323422e-09,4.540499911994132,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,27,1,0.922980560918144,0.0,0.9871300820856358,1.1863221516250633e-08,12.117200380632497,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,28,1,0.952203175347654,0.0,0.9873784529290122,8.656923807182955e-09,2.448713338911489,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,29,1,0.9243744867526522,0.0,0.9876635282975003,2.8347812985884957e-09,3.589322974978799,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,30,1,0.9250485325392198,0.0,0.9880535684242479,1.160905015868295e-09,4.151650757586495,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,31,1,0.9252465914203677,0.0,0.9880816977951132,4.552759946818696e-09,0.13230331441950227,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,32,1,0.9252465914203677,0.0,0.9880816977951132,4.552759946818696e-09,0.13230331441950227,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,33,1,0.9255936426764262,0.0,0.9881487934758889,5.890626653126674e-09,0.0929332895604773,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,34,1,0.9255936426764262,0.0,0.9881487934758889,5.890626653126674e-09,0.0929332895604773,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,35,1,0.925635354547924,0.0,0.9882297993107376,1.451383013773011e-09,0.36557351761331347,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,36,1,0.925635354547924,0.0,0.9882297993107376,1.451383013773011e-09,0.36557351761331347,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.1180454273213163,259.73921558929453,12
