day,peak_event_slot,participant_count,members_per_site,site,participant_bus_zero_based,exact_per_member_shapley_usd,site_total_shapley_usd,grand_coalition_value_usd,budget_residual_usd,count_states_evaluated,full_coalitions_avoided,solve_seconds,network,checkpoint_schema_version,panel_checksum
62,69,4,1,1,2,35.17320127520361,35.17320127520361,0.0,0.0,16,0,0.10647953499938012,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,4,1,2,7,-35.17320127520361,-35.17320127520361,0.0,0.0,16,0,0.10647953499938012,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,4,1,3,14,0.0,0.0,0.0,0.0,16,0,0.10647953499938012,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,4,1,4,20,0.0,0.0,0.0,0.0,16,0,0.10647953499938012,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,8,2,1,2,17.59262478989664,35.18524957979328,0.0,0.0,81,175,0.5364461180033686,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,8,2,2,7,-17.59262478989664,-35.18524957979328,0.0,0.0,81,175,0.5364461180033686,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,8,2,3,14,0.0,0.0,0.0,0.0,81,175,0.5364461180033686,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,8,2,4,20,0.0,0.0,0.0,0.0,81,175,0.5364461180033686,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,12,3,1,2,11.731629407823124,35.19488822346938,0.0,5.329070518200751e-15,256,3840,1.681164085999626,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,12,3,2,7,-11.731629407823123,-35.19488822346937,0.0,5.329070518200751e-15,256,3840,1.681164085999626,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,12,3,3,14,0.0,0.0,0.0,5.329070518200751e-15,256,3840,1.681164085999626,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,12,3,4,20,0.0,0.0,0.0,5.329070518200751e-15,256,3840,1.681164085999626,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,16,4,1,2,8.800787479511186,35.203149918044744,0.0,7.105427357601002e-15,625,64911,4.181049595998047,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,16,4,2,7,-8.800787479511184,-35.20314991804474,0.0,7.105427357601002e-15,625,64911,4.181049595998047,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,16,4,3,14,0.0,0.0,0.0,7.105427357601002e-15,625,64911,4.181049595998047,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,16,4,4,20,0.0,0.0,0.0,7.105427357601002e-15,625,64911,4.181049595998047,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,20,5,1,2,7.042098729311537,35.21049364655768,0.0,4.884981308350689e-14,1296,1047280,9.277847520999785,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,20,5,2,7,-7.042098729311527,-35.21049364655764,0.0,4.884981308350689e-14,1296,1047280,9.277847520999785,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,20,5,3,14,0.0,0.0,0.0,4.884981308350689e-14,1296,1047280,9.277847520999785,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
62,69,20,5,4,20,0.0,0.0,0.0,4.884981308350689e-14,1296,1047280,9.277847520999785,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,4,1,1,2,42.45737120826743,42.45737120826743,22.92622097140702,0.0,16,0,0.1094618540009833,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,4,1,2,7,-19.531150236860412,-19.531150236860412,22.92622097140702,0.0,16,0,0.1094618540009833,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,4,1,3,14,0.0,0.0,22.92622097140702,0.0,16,0,0.1094618540009833,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,4,1,4,20,0.0,0.0,22.92622097140702,0.0,16,0,0.1094618540009833,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,8,2,1,2,21.244606625020122,42.489213250040244,22.92622097140702,0.0,81,175,0.5785471749986755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,8,2,2,7,-9.781496139316612,-19.562992278633224,22.92622097140702,0.0,81,175,0.5785471749986755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,8,2,3,14,0.0,0.0,22.92622097140702,0.0,81,175,0.5785471749986755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,8,2,4,20,0.0,0.0,22.92622097140702,0.0,81,175,0.5785471749986755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,12,3,1,2,14.166473792442467,42.4994213773274,22.92622097140702,-3.552713678800501e-14,256,3840,1.9039355050008453,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,12,3,2,7,-6.524400135306806,-19.573200405920417,22.92622097140702,-3.552713678800501e-14,256,3840,1.9039355050008453,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,12,3,3,14,0.0,0.0,22.92622097140702,-3.552713678800501e-14,256,3840,1.9039355050008453,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,12,3,4,20,0.0,0.0,22.92622097140702,-3.552713678800501e-14,256,3840,1.9039355050008453,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,16,4,1,2,10.626107841911224,42.5044313676449,22.92622097140702,4.618527782440651e-14,625,64911,4.302506186999381,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,16,4,2,7,-4.894552599059458,-19.578210396237832,22.92622097140702,4.618527782440651e-14,625,64911,4.302506186999381,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,16,4,3,14,0.0,0.0,22.92622097140702,4.618527782440651e-14,625,64911,4.302506186999381,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,16,4,4,20,0.0,0.0,22.92622097140702,4.618527782440651e-14,625,64911,4.302506186999381,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,20,5,1,2,8.501462002950024,42.50731001475012,22.92622097140702,-7.105427357601002e-15,1296,1047280,8.799790277000284,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,20,5,2,7,-3.916217808668622,-19.58108904334311,22.92622097140702,-7.105427357601002e-15,1296,1047280,8.799790277000284,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,20,5,3,14,0.0,0.0,22.92622097140702,-7.105427357601002e-15,1296,1047280,8.799790277000284,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
63,64,20,5,4,20,0.0,0.0,22.92622097140702,-7.105427357601002e-15,1296,1047280,8.799790277000284,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,4,1,1,2,64.22418938139526,64.22418938139526,3.637978807091713e-12,1.4210854715202004e-14,16,0,0.10490642800141359,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,4,1,2,7,-64.22418938139161,-64.22418938139161,3.637978807091713e-12,1.4210854715202004e-14,16,0,0.10490642800141359,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,4,1,3,14,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,16,0,0.10490642800141359,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,4,1,4,20,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,16,0,0.10490642800141359,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,8,2,1,2,32.16400403651823,64.32800807303646,3.637978807091713e-12,1.4210854715202004e-14,81,175,0.5390710459978436,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,8,2,2,7,-32.1640040365164,-64.3280080730328,3.637978807091713e-12,1.4210854715202004e-14,81,175,0.5390710459978436,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,8,2,3,14,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,81,175,0.5390710459978436,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,8,2,4,20,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,81,175,0.5390710459978436,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,12,3,1,2,21.44477608222569,64.33432824667707,3.637978807091713e-12,-1.4210854715202004e-14,256,3840,1.7128261149991886,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,12,3,2,7,-21.444776082224482,-64.33432824667345,3.637978807091713e-12,-1.4210854715202004e-14,256,3840,1.7128261149991886,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,12,3,3,14,0.0,0.0,3.637978807091713e-12,-1.4210854715202004e-14,256,3840,1.7128261149991886,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,12,3,4,20,0.0,0.0,3.637978807091713e-12,-1.4210854715202004e-14,256,3840,1.7128261149991886,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,16,4,1,2,16.089498299023617,64.35799319609447,3.637978807091713e-12,1.4210854715202004e-14,625,64911,4.366783498000586,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,16,4,2,7,-16.089498299022704,-64.35799319609082,3.637978807091713e-12,1.4210854715202004e-14,625,64911,4.366783498000586,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,16,4,3,14,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,625,64911,4.366783498000586,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,16,4,4,20,0.0,0.0,3.637978807091713e-12,1.4210854715202004e-14,625,64911,4.366783498000586,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,20,5,1,2,12.872207730289867,64.36103865144933,3.637978807091713e-12,5.684341886080802e-14,1296,1047280,8.820481161001226,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,20,5,2,7,-12.872207730289128,-64.36103865144564,3.637978807091713e-12,5.684341886080802e-14,1296,1047280,8.820481161001226,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,20,5,3,14,0.0,0.0,3.637978807091713e-12,5.684341886080802e-14,1296,1047280,8.820481161001226,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
64,66,20,5,4,20,0.0,0.0,3.637978807091713e-12,5.684341886080802e-14,1296,1047280,8.820481161001226,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,4,1,1,2,10.427709201282294,10.427709201282294,-24.416059652859985,0.0,16,0,0.10898852199898101,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,4,1,2,7,-17.378278399293173,-17.378278399293173,-24.416059652859985,0.0,16,0,0.10898852199898101,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,4,1,3,14,-9.293856183256139,-9.293856183256139,-24.416059652859985,0.0,16,0,0.10898852199898101,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,4,1,4,20,-8.171634271592968,-8.171634271592968,-24.416059652859985,0.0,16,0,0.10898852199898101,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,8,2,1,2,5.213854600640789,10.427709201281578,-24.416059652859985,7.105427357601002e-15,81,175,0.5724677750004048,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,8,2,2,7,-8.689139199646078,-17.378278399292157,-24.416059652859985,7.105427357601002e-15,81,175,0.5724677750004048,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,8,2,3,14,-4.6469280916278315,-9.293856183255663,-24.416059652859985,7.105427357601002e-15,81,175,0.5724677750004048,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,8,2,4,20,-4.085817135796869,-8.171634271593739,-24.416059652859985,7.105427357601002e-15,81,175,0.5724677750004048,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,12,3,1,2,3.4759030670939683,10.427709201281905,-24.416059652859985,-1.4210854715202004e-14,256,3840,1.8637716800003545,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,12,3,2,7,-5.792759466430998,-17.378278399292995,-24.416059652859985,-1.4210854715202004e-14,256,3840,1.8637716800003545,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,12,3,3,14,-3.0979520610851456,-9.293856183255437,-24.416059652859985,-1.4210854715202004e-14,256,3840,1.8637716800003545,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,12,3,4,20,-2.7238780905311564,-8.171634271593469,-24.416059652859985,-1.4210854715202004e-14,256,3840,1.8637716800003545,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,16,4,1,2,2.606927300320526,10.427709201282104,-24.416059652859985,1.4210854715202004e-14,625,64911,4.390569888000755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,16,4,2,7,-4.344569599823154,-17.378278399292615,-24.416059652859985,1.4210854715202004e-14,625,64911,4.390569888000755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,16,4,3,14,-2.3234640458138847,-9.293856183255539,-24.416059652859985,1.4210854715202004e-14,625,64911,4.390569888000755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,16,4,4,20,-2.042908567898481,-8.171634271593923,-24.416059652859985,1.4210854715202004e-14,625,64911,4.390569888000755,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,20,5,1,2,2.085541840256484,10.42770920128242,-24.416059652859985,5.684341886080802e-14,1296,1047280,8.785603956999694,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,20,5,2,7,-3.4756556798583698,-17.378278399291847,-24.416059652859985,5.684341886080802e-14,1296,1047280,8.785603956999694,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,20,5,3,14,-1.8587712366513698,-9.29385618325685,-24.416059652859985,5.684341886080802e-14,1296,1047280,8.785603956999694,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
65,65,20,5,4,20,-1.6343268543187301,-8.17163427159365,-24.416059652859985,5.684341886080802e-14,1296,1047280,8.785603956999694,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,4,1,1,2,127.56085915707672,127.56085915707672,-37.799236371633015,-7.105427357601002e-15,16,0,0.10580343100082246,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,4,1,2,7,-139.82453504884037,-139.82453504884037,-37.799236371633015,-7.105427357601002e-15,16,0,0.10580343100082246,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,4,1,3,14,-13.730955498419613,-13.730955498419613,-37.799236371633015,-7.105427357601002e-15,16,0,0.10580343100082246,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,4,1,4,20,-11.804604981449756,-11.804604981449756,-37.799236371633015,-7.105427357601002e-15,16,0,0.10580343100082246,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,8,2,1,2,63.808443576788015,127.61688715357603,-37.799236371633015,-7.105427357601002e-14,81,175,0.5311304530005145,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,8,2,2,7,-69.92874361428512,-139.85748722857025,-37.799236371633015,-7.105427357601002e-14,81,175,0.5311304530005145,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,8,2,3,14,-6.871711947647394,-13.743423895294788,-37.799236371633015,-7.105427357601002e-14,81,175,0.5311304530005145,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,8,2,4,20,-5.90760620067204,-11.81521240134408,-37.799236371633015,-7.105427357601002e-14,81,175,0.5311304530005145,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,12,3,1,2,42.5301669681,127.5905009043,-37.799236371633015,3.552713678800501e-14,256,3840,1.7789845599982073,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,12,3,2,7,-46.60843747763787,-139.82531243291362,-37.799236371633015,3.552713678800501e-14,256,3840,1.7789845599982073,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,12,3,3,14,-4.582163456425565,-13.746490369276696,-37.799236371633015,3.552713678800501e-14,256,3840,1.7789845599982073,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,12,3,4,20,-3.9393114912475555,-11.817934473742667,-37.799236371633015,3.552713678800501e-14,256,3840,1.7789845599982073,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,16,4,1,2,31.894824669522336,127.57929867808934,-37.799236371633015,-2.842170943040401e-14,625,64911,4.166567811000277,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,16,4,2,7,-34.95563429778864,-139.82253719115457,-37.799236371633015,-2.842170943040401e-14,625,64911,4.166567811000277,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
66,64,16,4,3,14,-3.435462031281039,-13.741848125124156,-37.799236371633015,-2.842170943040401e-14,625,64911,4.166567811000277,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
